Clock,Number of Servers,Number of Servers in Use,Number of Requests
1660,13,13,331
1661,13,13,331
1662,13,13,332
1663,13,13,332
1664,13,13,332
1665,13,13,331
1666,13,13,331
1667,13,13,332
1668,13,13,332
1669,13,13,332
1670,13,13,332
1671,13,13,333
1672,13,13,335
1673,13,13,334
1674,13,13,334
1675,13,13,333
1676,13,13,334
1677,13,13,334
1678,13,13,333
1679,13,13,332
1680,13,13,332
1681,13,13,332
1682,13,13,332
1683,13,13,332
1684,13,13,333
1685,13,13,333
1686,13,13,333
1687,13,13,333
1688,13,13,333
1689,13,13,334
1690,13,13,335
1691,13,13,335
1692,13,13,335
1693,13,13,335
1694,13,13,336
1695,13,13,336
1696,13,13,336
1697,13,13,337
1698,13,13,337
1699,13,13,339
1700,14,13,339
1701,14,14,338
1702,14,14,339
1703,14,14,339
1704,14,14,340
1705,14,14,338
1706,14,14,338
1707,14,14,338
1708,14,14,338
1709,14,14,338
1710,14,14,337
1711,14,14,337
1712,14,14,337
1713,14,14,336
1714,14,14,336
1715,14,14,336
1716,14,14,337
1717,14,14,337
1718,14,14,337
1719,14,14,337
1720,14,14,337
1721,14,14,337
1722,14,14,338
1723,14,14,337
1724,14,14,337
1725,14,14,337
1726,14,14,337
1727,14,14,337
1728,14,14,336
1729,14,14,337
1730,14,14,338
1731,14,14,338
1732,14,14,337
1733,14,14,338
1734,14,14,337
1735,14,14,339
1736,14,14,339
1737,14,14,339
1738,14,14,339
1739,14,14,338
1740,14,14,337
1741,14,14,337
1742,14,14,337
1743,14,14,338
1744,14,14,337
1745,14,14,337
1746,14,14,337
1747,14,14,337
1748,14,14,337
1749,14,14,336
1750,14,14,336
1751,14,14,337
1752,14,14,337
1753,14,14,337
1754,14,14,337
1755,14,14,337
1756,14,14,337
1757,14,14,336
1758,14,14,334
1759,14,14,340
1760,14,14,340
1761,14,14,340
1762,14,14,340
1763,14,14,340
1764,14,14,340
1765,14,14,340
1766,14,14,339
1767,14,14,339
1768,14,14,340
1769,14,14,340
1770,14,14,341
1771,14,14,341
1772,14,14,341
1773,14,14,341
1774,14,14,341
1775,14,14,340
1776,14,14,340
1777,14,14,341
1778,14,14,343
1779,14,14,343
1780,14,14,344
1781,14,14,343
1782,14,14,343
1783,14,14,342
1784,14,14,342
1785,14,14,347
1786,14,14,347
1787,14,14,349
1788,14,14,349
1789,14,14,349
1790,14,14,349
1791,14,14,350
1792,14,14,351
1793,14,14,351
1794,14,14,351
1795,14,14,351
1796,14,14,351
1797,14,14,351
1798,14,14,351
1799,14,14,351
1800,15,14,351
1801,15,15,351
1802,15,15,351
1803,15,15,351
1804,15,15,350
1805,15,15,351
1806,15,15,351
1807,15,15,352
1808,15,15,351
1809,15,15,350
1810,15,15,350
1811,15,15,350
1812,15,15,351
1813,15,15,352
1814,15,15,353
1815,15,15,353
1816,15,15,352
1817,15,15,354
1818,15,15,354
1819,15,15,355
1820,15,15,356
1821,15,15,355
1822,15,15,354
1823,15,15,353
1824,15,15,353
1825,15,15,354
1826,15,15,354
1827,15,15,354
1828,15,15,353
1829,15,15,353
1830,15,15,353
1831,15,15,353
1832,15,15,354
1833,15,15,353
1834,15,15,351
1835,15,15,351
1836,15,15,351
1837,15,15,350
1838,15,15,352
1839,15,15,352
1840,15,15,352
1841,15,15,352
1842,15,15,352
1843,15,15,351
1844,15,15,351
1845,15,15,351
1846,15,15,350
1847,15,15,350
1848,15,15,350
1849,15,15,351
1850,15,15,349
1851,15,15,350
1852,15,15,349
1853,15,15,349
1854,15,15,350
1855,15,15,349
1856,15,15,349
1857,15,15,348
1858,15,15,348
1859,15,15,349
1860,15,15,349
1861,15,15,349
1862,15,15,348
1863,15,15,348
1864,15,15,348
1865,15,15,349
1866,15,15,352
1867,15,15,352
1868,15,15,352
1869,15,15,350
1870,15,15,350
1871,15,15,350
1872,15,15,350
1873,15,15,351
1874,15,15,351
1875,15,15,351
1876,15,15,351
1877,15,15,351
1878,15,15,352
1879,15,15,352
1880,15,15,355
1881,15,15,354
1882,15,15,354
1883,15,15,354
1884,15,15,354
1885,15,15,354
1886,15,15,354
1887,15,15,354
1888,15,15,355
1889,15,15,357
1890,15,15,356
1891,15,15,355
1892,15,15,355
1893,15,15,354
1894,15,15,354
1895,15,15,356
1896,15,15,357
1897,15,15,356
1898,15,15,356
1899,15,15,356
1900,15,15,357
1901,15,15,356
1902,15,15,356
1903,15,15,356
1904,15,15,357
1905,15,15,357
1906,15,15,357
1907,15,15,357
1908,15,15,358
1909,15,15,358
1910,15,15,358
1911,15,15,358
1912,15,15,359
1913,15,15,359
1914,15,15,358
1915,15,15,358
1916,15,15,360
1917,15,15,360
1918,15,15,360
1919,15,15,359
1920,15,15,360
1921,15,15,359
1922,15,15,359
1923,15,15,360
1924,15,15,359
1925,15,15,359
1926,15,15,359
1927,15,15,359
1928,15,15,359
1929,15,15,361
1930,15,15,358
1931,15,15,358
1932,15,15,357
1933,15,15,358
1934,15,15,358
1935,15,15,357
1936,15,15,357
1937,15,15,356
1938,15,15,356
1939,15,15,355
1940,15,15,354
1941,15,15,354
1942,15,15,354
1943,15,15,355
1944,15,15,356
1945,15,15,356
1946,15,15,356
1947,15,15,356
1948,15,15,359
1949,15,15,358
1950,15,15,356
1951,15,15,356
1952,15,15,356
1953,15,15,356
1954,15,15,356
1955,15,15,356
1956,15,15,356
1957,15,15,356
1958,15,15,356
1959,15,15,357
1960,15,15,357
1961,15,15,357
1962,15,15,357
1963,15,15,357
1964,15,15,356
1965,15,15,355
1966,15,15,355
1967,15,15,355
1968,15,15,355
1969,15,15,354
1970,15,15,354
1971,15,15,354
1972,15,15,354
1973,15,15,354
1974,15,15,354
1975,15,15,352
1976,15,15,352
1977,15,15,351
1978,15,15,351
1979,15,15,351
1980,15,15,351
1981,15,15,352
1982,15,15,353
1983,15,15,353
1984,15,15,353
1985,15,15,355
1986,15,15,354
1987,15,15,354
1988,15,15,354
1989,15,15,354
1990,15,15,354
1991,15,15,354
1992,15,15,354
1993,15,15,354
1994,15,15,354
1995,15,15,354
1996,15,15,354
1997,15,15,354
1998,15,15,354
1999,15,15,354
2000,15,15,355
2001,15,15,355
2002,15,15,355
2003,15,15,356
2004,15,15,355
2005,15,15,355
2006,15,15,357
2007,15,15,355
2008,15,15,356
2009,15,15,356
2010,15,15,356
2011,15,15,356
2012,15,15,356
2013,15,15,356
2014,15,15,356
2015,15,15,356
2016,15,15,354
2017,15,15,354
2018,15,15,354
2019,15,15,354
2020,15,15,355
2021,15,15,354
2022,15,15,354
2023,15,15,354
2024,15,15,354
2025,15,15,354
2026,15,15,355
2027,15,15,355
2028,15,15,354
2029,15,15,354
2030,15,15,354
2031,15,15,354
2032,15,15,353
2033,15,15,354
2034,15,15,354
2035,15,15,355
2036,15,15,357
2037,15,15,356
2038,15,15,357
2039,15,15,358
2040,15,15,358
2041,15,15,358
2042,15,15,358
2043,15,15,358
2044,15,15,357
2045,15,15,357
2046,15,15,359
2047,15,15,359
2048,15,15,358
2049,15,15,359
2050,15,15,359
2051,15,15,359
2052,15,15,359
2053,15,15,359
2054,15,15,360
2055,15,15,360
2056,15,15,360
2057,15,15,359
2058,15,15,358
2059,15,15,358
2060,15,15,358
2061,15,15,358
2062,15,15,357
2063,15,15,357
2064,15,15,357
2065,15,15,356
2066,15,15,356
2067,15,15,355
2068,15,15,355
2069,15,15,356
2070,15,15,356
2071,15,15,356
2072,15,15,357
2073,15,15,357
2074,15,15,357
2075,15,15,357
2076,15,15,358
2077,15,15,357
2078,15,15,356
2079,15,15,358
2080,15,15,358
2081,15,15,356
2082,15,15,357
2083,15,15,356
2084,15,15,355
2085,15,15,355
2086,15,15,355
2087,15,15,355
2088,15,15,355
2089,15,15,355
2090,15,15,354
2091,15,15,354
2092,15,15,354
2093,15,15,353
2094,15,15,351
2095,15,15,353
2096,15,15,355
2097,15,15,356
2098,15,15,356
2099,15,15,356
2100,15,15,356
2101,15,15,357
2102,15,15,357
2103,15,15,357
2104,15,15,357
2105,15,15,357
2106,15,15,358
2107,15,15,358
2108,15,15,357
2109,15,15,357
2110,15,15,360
2111,15,15,360
2112,15,15,359
2113,15,15,358
2114,15,15,358
2115,15,15,359
2116,15,15,359
2117,15,15,359
2118,15,15,359
2119,15,15,359
2120,15,15,359
2121,15,15,358
2122,15,15,358
2123,15,15,358
2124,15,15,358
2125,15,15,357
2126,15,15,354
2127,15,15,353
2128,15,15,354
2129,15,15,355
2130,15,15,355
2131,15,15,355
2132,15,15,355
2133,15,15,355
2134,15,15,355
2135,15,15,355
2136,15,15,353
2137,15,15,353
2138,15,15,353
2139,15,15,354
2140,15,15,353
2141,15,15,354
2142,15,15,354
2143,15,15,354
2144,15,15,356
2145,15,15,357
2146,15,15,357
2147,15,15,357
2148,15,15,355
2149,15,15,355
2150,15,15,356
2151,15,15,356
2152,15,15,356
2153,15,15,355
2154,15,15,353
2155,15,15,355
2156,15,15,355
2157,15,15,356
2158,15,15,356
2159,15,15,356
2160,15,15,355
2161,15,15,355
2162,15,15,356
2163,15,15,356
2164,15,15,356
2165,15,15,356
2166,15,15,356
2167,15,15,356
2168,15,15,354
2169,15,15,355
2170,15,15,356
2171,15,15,356
2172,15,15,356
2173,15,15,356
2174,15,15,356
2175,15,15,356
2176,15,15,357
2177,15,15,357
2178,15,15,358
2179,15,15,358
2180,15,15,358
2181,15,15,358
2182,15,15,359
2183,15,15,359
2184,15,15,359
2185,15,15,358
2186,15,15,358
2187,15,15,358
2188,15,15,358
2189,15,15,359
2190,15,15,359
2191,15,15,359
2192,15,15,359
2193,15,15,358
2194,15,15,359
2195,15,15,359
2196,15,15,359
2197,15,15,360
2198,15,15,359
2199,15,15,359
2200,15,15,359
2201,15,15,359
2202,15,15,362
2203,15,15,361
2204,15,15,361
2205,15,15,362
2206,15,15,362
2207,15,15,360
2208,15,15,360
2209,15,15,360
2210,15,15,360
2211,15,15,360
2212,15,15,361
2213,15,15,360
2214,15,15,360
2215,15,15,360
2216,15,15,360
2217,15,15,360
2218,15,15,363
2219,15,15,362
2220,15,15,364
2221,15,15,367
2222,15,15,367
2223,15,15,367
2224,15,15,367
2225,15,15,368
2226,15,15,371
2227,15,15,370
2228,15,15,370
2229,15,15,371
2230,15,15,369
2231,15,15,369
2232,15,15,369
2233,15,15,374
2234,15,15,373
2235,15,15,373
2236,15,15,373
2237,15,15,374
2238,15,15,374
2239,15,15,374
2240,15,15,373
2241,15,15,373
2242,15,15,373
2243,15,15,374
2244,15,15,374
2245,15,15,375
2246,15,15,375
2247,15,15,374
2248,15,15,374
2249,15,15,373
2250,15,15,371
2251,15,15,370
2252,15,15,370
2253,15,15,370
2254,15,15,370
2255,15,15,371
2256,15,15,370
2257,15,15,370
2258,15,15,369
2259,15,15,369
2260,15,15,369
2261,15,15,369
2262,15,15,369
2263,15,15,368
2264,15,15,368
2265,15,15,367
2266,15,15,368
2267,15,15,369
2268,15,15,369
2269,15,15,370
2270,15,15,369
2271,15,15,371
2272,15,15,371
2273,15,15,371
2274,15,15,371
2275,15,15,371
2276,15,15,371
2277,15,15,371
2278,15,15,372
2279,15,15,373
2280,15,15,372
2281,15,15,372
2282,15,15,371
2283,15,15,373
2284,15,15,373
2285,15,15,373
2286,15,15,372
2287,15,15,372
2288,15,15,371
2289,15,15,373
2290,15,15,373
2291,15,15,373
2292,15,15,372
2293,15,15,372
2294,15,15,372
2295,15,15,373
2296,15,15,373
2297,15,15,373
2298,15,15,371
2299,15,15,371
2300,15,15,371
2301,15,15,370
2302,15,15,370
2303,15,15,371
2304,15,15,371
2305,15,15,370
2306,15,15,370
2307,15,15,371
2308,15,15,371
2309,15,15,370
2310,15,15,370
2311,15,15,371
2312,15,15,372
2313,15,15,372
2314,15,15,372
2315,15,15,371
2316,15,15,371
2317,15,15,370
2318,15,15,370
2319,15,15,370
2320,15,15,370
2321,15,15,370
2322,15,15,369
2323,15,15,369
2324,15,15,369
2325,15,15,369
2326,15,15,369
2327,15,15,370
2328,15,15,370
2329,15,15,370
2330,15,15,370
2331,15,15,371
2332,15,15,371
2333,15,15,374
2334,15,15,374
2335,15,15,374
2336,15,15,373
2337,15,15,373
2338,15,15,374
2339,15,15,374
2340,15,15,374
2341,15,15,374
2342,15,15,374
2343,15,15,374
2344,15,15,374
2345,15,15,374
2346,15,15,374
2347,15,15,374
2348,15,15,374
2349,15,15,374
2350,15,15,374
2351,15,15,374
2352,15,15,375
2353,15,15,373
2354,15,15,373
2355,15,15,373
2356,15,15,374
2357,15,15,373
2358,15,15,373
2359,15,15,372
2360,15,15,373
2361,15,15,373
2362,15,15,374
2363,15,15,376
2364,15,15,376
2365,15,15,376
2366,15,15,376
2367,15,15,375
2368,15,15,374
2369,15,15,375
2370,15,15,376
2371,15,15,376
2372,15,15,376
2373,15,15,376
2374,15,15,376
2375,15,15,374
2376,15,15,375
2377,15,15,375
2378,15,15,374
2379,15,15,373
2380,15,15,372
2381,15,15,371
2382,15,15,371
2383,15,15,371
2384,15,15,371
2385,15,15,371
2386,15,15,371
2387,15,15,372
2388,15,15,372
2389,15,15,372
2390,15,15,372
2391,15,15,372
2392,15,15,372
2393,15,15,371
2394,15,15,373
2395,15,15,373
2396,15,15,376
2397,15,15,376
2398,15,15,376
2399,15,15,376
2400,16,15,376
2401,16,16,375
2402,16,16,375
2403,16,16,375
2404,16,16,375
2405,16,16,374
2406,16,16,374
2407,16,16,373
2408,16,16,373
2409,16,16,373
2410,16,16,373
2411,16,16,373
2412,16,16,373
2413,16,16,372
2414,16,16,375
2415,16,16,376
2416,16,16,376
2417,16,16,375
2418,16,16,375
2419,16,16,375
2420,16,16,375
2421,16,16,375
2422,16,16,374
2423,16,16,374
2424,16,16,373
2425,16,16,372
2426,16,16,372
2427,16,16,372
2428,16,16,372
2429,16,16,371
2430,16,16,372
2431,16,16,371
2432,16,16,372
2433,16,16,372
2434,16,16,376
2435,16,16,376
2436,16,16,376
2437,16,16,375
2438,16,16,374
2439,16,16,374
2440,16,16,374
2441,16,16,373
2442,16,16,373
2443,16,16,375
2444,16,16,375
2445,16,16,375
2446,16,16,375
2447,16,16,376
2448,16,16,376
2449,16,16,376
2450,16,16,377
2451,16,16,377
2452,16,16,376
2453,16,16,376
2454,16,16,376
2455,16,16,375
2456,16,16,375
2457,16,16,374
2458,16,16,373
2459,16,16,373
2460,16,16,373
2461,16,16,373
2462,16,16,373
2463,16,16,372
2464,16,16,372
2465,16,16,371
2466,16,16,371
2467,16,16,371
2468,16,16,371
2469,16,16,372
2470,16,16,374
2471,16,16,373
2472,16,16,373
2473,16,16,372
2474,16,16,372
2475,16,16,372
2476,16,16,372
2477,16,16,372
2478,16,16,372
2479,16,16,371
2480,16,16,371
2481,16,16,372
2482,16,16,371
2483,16,16,371
2484,16,16,371
2485,16,16,370
2486,16,16,370
2487,16,16,370
2488,16,16,370
2489,16,16,370
2490,16,16,370
2491,16,16,371
2492,16,16,371
2493,16,16,371
2494,16,16,371
2495,16,16,371
2496,16,16,372
2497,16,16,372
2498,16,16,372
2499,16,16,372
2500,16,16,372
2501,16,16,372
2502,16,16,373
2503,16,16,373
2504,16,16,373
2505,16,16,372
2506,16,16,373
2507,16,16,372
2508,16,16,371
2509,16,16,371
2510,16,16,371
2511,16,16,371
2512,16,16,370
2513,16,16,369
2514,16,16,369
2515,16,16,371
2516,16,16,373
2517,16,16,374
2518,16,16,375
2519,16,16,376
2520,16,16,377
2521,16,16,377
2522,16,16,378
2523,16,16,378
2524,16,16,378
2525,16,16,378
2526,16,16,378
2527,16,16,378
2528,16,16,377
2529,16,16,377
2530,16,16,377
2531,16,16,377
2532,16,16,377
2533,16,16,377
2534,16,16,377
2535,16,16,377
2536,16,16,378
2537,16,16,378
2538,16,16,376
2539,16,16,376
2540,16,16,375
2541,16,16,374
2542,16,16,374
2543,16,16,373
2544,16,16,375
2545,16,16,376
2546,16,16,375
2547,16,16,375
2548,16,16,375
2549,16,16,374
2550,16,16,374
2551,16,16,373
2552,16,16,373
2553,16,16,373
2554,16,16,373
2555,16,16,373
2556,16,16,373
2557,16,16,372
2558,16,16,373
2559,16,16,373
2560,16,16,373
2561,16,16,373
2562,16,16,371
2563,16,16,371
2564,16,16,370
2565,16,16,370
2566,16,16,370
2567,16,16,369
2568,16,16,369
2569,16,16,368
2570,16,16,369
2571,16,16,369
2572,16,16,369
2573,16,16,368
2574,16,16,368
2575,16,16,368
2576,16,16,369
2577,16,16,369
2578,16,16,369
2579,16,16,369
2580,16,16,369
2581,16,16,369
2582,16,16,369
2583,16,16,370
2584,16,16,370
2585,16,16,371
2586,16,16,371
2587,16,16,371
2588,16,16,372
2589,16,16,372
2590,16,16,371
2591,16,16,372
2592,16,16,372
2593,16,16,371
2594,16,16,371
2595,16,16,371
2596,16,16,372
2597,16,16,372
2598,16,16,371
2599,16,16,370
2600,16,16,369
2601,16,16,369
2602,16,16,368
2603,16,16,368
2604,16,16,368
2605,16,16,369
2606,16,16,369
2607,16,16,369
2608,16,16,369
2609,16,16,372
2610,16,16,371
2611,16,16,371
2612,16,16,371
2613,16,16,371
2614,16,16,372
2615,16,16,373
2616,16,16,373
2617,16,16,373
2618,16,16,374
2619,16,16,374
2620,16,16,372
2621,16,16,372
2622,16,16,372
2623,16,16,372
2624,16,16,372
2625,16,16,371
2626,16,16,371
2627,16,16,370
2628,16,16,370
2629,16,16,371
2630,16,16,372
2631,16,16,372
2632,16,16,373
2633,16,16,373
2634,16,16,373
2635,16,16,372
2636,16,16,372
2637,16,16,372
2638,16,16,372
2639,16,16,369
2640,16,16,367
2641,16,16,367
2642,16,16,367
2643,16,16,368
2644,16,16,367
2645,16,16,367
2646,16,16,367
2647,16,16,367
2648,16,16,366
2649,16,16,366
2650,16,16,364
2651,16,16,364
2652,16,16,364
2653,16,16,366
2654,16,16,366
2655,16,16,366
2656,16,16,365
2657,16,16,365
2658,16,16,365
2659,16,16,364
2660,16,16,365
2661,16,16,365
2662,16,16,365
2663,16,16,365
2664,16,16,364
2665,16,16,364
2666,16,16,363
2667,16,16,363
2668,16,16,363
2669,16,16,363
2670,16,16,362
2671,16,16,362
2672,16,16,362
2673,16,16,362
2674,16,16,361
2675,16,16,363
2676,16,16,363
2677,16,16,363
2678,16,16,362
2679,16,16,362
2680,16,16,364
2681,16,16,363
2682,16,16,362
2683,16,16,362
2684,16,16,361
2685,16,16,361
2686,16,16,362
2687,16,16,363
2688,16,16,362
2689,16,16,362
2690,16,16,362
2691,16,16,362
2692,16,16,361
2693,16,16,361
2694,16,16,361
2695,16,16,361
2696,16,16,361
2697,16,16,362
2698,16,16,363
2699,16,16,362
2700,16,16,362
2701,16,16,362
2702,16,16,360
2703,16,16,360
2704,16,16,360
2705,16,16,360
2706,16,16,360
2707,16,16,360
2708,16,16,358
2709,16,16,357
2710,16,16,357
2711,16,16,355
2712,16,16,356
2713,16,16,356
2714,16,16,356
2715,16,16,357
2716,16,16,356
2717,16,16,356
2718,16,16,357
2719,16,16,358
2720,16,16,359
2721,16,16,359
2722,16,16,359
2723,16,16,359
2724,16,16,363
2725,16,16,362
2726,16,16,362
2727,16,16,363
2728,16,16,363
2729,16,16,363
2730,16,16,363
2731,16,16,363
2732,16,16,363
2733,16,16,363
2734,16,16,363
2735,16,16,362
2736,16,16,362
2737,16,16,363
2738,16,16,363
2739,16,16,362
2740,16,16,362
2741,16,16,362
2742,16,16,362
2743,16,16,362
2744,16,16,362
2745,16,16,362
2746,16,16,363
2747,16,16,364
2748,16,16,364
2749,16,16,364
2750,16,16,369
2751,16,16,372
2752,16,16,372
2753,16,16,372
2754,16,16,372
2755,16,16,371
2756,16,16,370
2757,16,16,371
2758,16,16,370
2759,16,16,370
2760,16,16,370
2761,16,16,371
2762,16,16,370
2763,16,16,371
2764,16,16,371
2765,16,16,372
2766,16,16,371
2767,16,16,373
2768,16,16,373
2769,16,16,373
2770,16,16,373
2771,16,16,373
2772,16,16,373
2773,16,16,374
2774,16,16,374
2775,16,16,374
2776,16,16,373
2777,16,16,371
2778,16,16,371
2779,16,16,372
2780,16,16,371
2781,16,16,371
2782,16,16,371
2783,16,16,370
2784,16,16,370
2785,16,16,369
2786,16,16,369
2787,16,16,368
2788,16,16,367
2789,16,16,368
2790,16,16,368
2791,16,16,368
2792,16,16,367
2793,16,16,365
2794,16,16,365
2795,16,16,364
2796,16,16,363
2797,16,16,363
2798,16,16,363
2799,16,16,364
2800,16,16,364
2801,16,16,364
2802,16,16,366
2803,16,16,366
2804,16,16,366
2805,16,16,366
2806,16,16,365
2807,16,16,365
2808,16,16,365
2809,16,16,365
2810,16,16,365
2811,16,16,365
2812,16,16,365
2813,16,16,365
2814,16,16,364
2815,16,16,365
2816,16,16,365
2817,16,16,365
2818,16,16,365
2819,16,16,365
2820,16,16,365
2821,16,16,365
2822,16,16,363
2823,16,16,363
2824,16,16,364
2825,16,16,364
2826,16,16,364
2827,16,16,365
2828,16,16,365
2829,16,16,364
2830,16,16,362
2831,16,16,361
2832,16,16,361
2833,16,16,361
2834,16,16,361
2835,16,16,361
2836,16,16,362
2837,16,16,362
2838,16,16,362
2839,16,16,362
2840,16,16,363
2841,16,16,362
2842,16,16,362
2843,16,16,360
2844,16,16,360
2845,16,16,360
2846,16,16,360
2847,16,16,359
2848,16,16,360
2849,16,16,359
2850,16,16,359
2851,16,16,361
2852,16,16,361
2853,16,16,361
2854,16,16,361
2855,16,16,361
2856,16,16,361
2857,16,16,360
2858,16,16,360
2859,16,16,360
2860,16,16,361
2861,16,16,362
2862,16,16,362
2863,16,16,362
2864,16,16,361
2865,16,16,360
2866,16,16,360
2867,16,16,361
2868,16,16,361
2869,16,16,361
2870,16,16,361
2871,16,16,361
2872,16,16,361
2873,16,16,360
2874,16,16,360
2875,16,16,360
2876,16,16,362
2877,16,16,362
2878,16,16,359
2879,16,16,359
2880,16,16,359
2881,16,16,359
2882,16,16,359
2883,16,16,358
2884,16,16,358
2885,16,16,358
2886,16,16,358
2887,16,16,357
2888,16,16,357
2889,16,16,357
2890,16,16,357
2891,16,16,356
2892,16,16,356
2893,16,16,356
2894,16,16,356
2895,16,16,355
2896,16,16,353
2897,16,16,354
2898,16,16,353
2899,16,16,353
2900,16,16,354
2901,16,16,354
2902,16,16,356
2903,16,16,356
2904,16,16,356
2905,16,16,356
2906,16,16,356
2907,16,16,356
2908,16,16,356
2909,16,16,356
2910,16,16,358
2911,16,16,358
2912,16,16,358
2913,16,16,358
2914,16,16,358
2915,16,16,358
2916,16,16,358
2917,16,16,359
2918,16,16,359
2919,16,16,359
2920,16,16,359
2921,16,16,360
2922,16,16,360
2923,16,16,360
2924,16,16,360
2925,16,16,360
2926,16,16,360
2927,16,16,360
2928,16,16,360
2929,16,16,360
2930,16,16,360
2931,16,16,360
2932,16,16,360
2933,16,16,360
2934,16,16,361
2935,16,16,361
2936,16,16,361
2937,16,16,362
2938,16,16,360
2939,16,16,359
2940,16,16,359
2941,16,16,359
2942,16,16,360
2943,16,16,361
2944,16,16,359
2945,16,16,359
2946,16,16,359
2947,16,16,359
2948,16,16,358
2949,16,16,358
2950,16,16,358
2951,16,16,357
2952,16,16,356
2953,16,16,358
2954,16,16,358
2955,16,16,357
2956,16,16,357
2957,16,16,359
2958,16,16,359
2959,16,16,359
2960,16,16,359
2961,16,16,359
2962,16,16,359
2963,16,16,359
2964,16,16,358
2965,16,16,357
2966,16,16,356
2967,16,16,358
2968,16,16,361
2969,16,16,363
2970,16,16,363
2971,16,16,365
2972,16,16,364
2973,16,16,364
2974,16,16,365
2975,16,16,366
2976,16,16,366
2977,16,16,365
2978,16,16,365
2979,16,16,364
2980,16,16,367
2981,16,16,367
2982,16,16,367
2983,16,16,366
2984,16,16,366
2985,16,16,370
2986,16,16,370
2987,16,16,369
2988,16,16,370
2989,16,16,370
2990,16,16,371
2991,16,16,370
2992,16,16,369
2993,16,16,370
2994,16,16,370
2995,16,16,369
2996,16,16,369
2997,16,16,369
2998,16,16,369
2999,16,16,369
3000,16,16,369
3001,16,16,369
3002,16,16,371
3003,16,16,371
3004,16,16,371
3005,16,16,372
3006,16,16,372
3007,16,16,372
3008,16,16,373
3009,16,16,373
3010,16,16,373
3011,16,16,372
3012,16,16,372
3013,16,16,370
3014,16,16,370
3015,16,16,372
3016,16,16,371
3017,16,16,371
3018,16,16,371
3019,16,16,371
3020,16,16,370
3021,16,16,370
3022,16,16,370
3023,16,16,371
3024,16,16,371
3025,16,16,371
3026,16,16,371
3027,16,16,371
3028,16,16,371
3029,16,16,371
3030,16,16,370
3031,16,16,370
3032,16,16,370
3033,16,16,370
3034,16,16,369
3035,16,16,369
3036,16,16,368
3037,16,16,368
3038,16,16,368
3039,16,16,368
3040,16,16,369
3041,16,16,369
3042,16,16,369
3043,16,16,370
3044,16,16,370
3045,16,16,369
3046,16,16,370
3047,16,16,370
3048,16,16,370
3049,16,16,369
3050,16,16,369
3051,16,16,369
3052,16,16,369
3053,16,16,370
3054,16,16,372
3055,16,16,372
3056,16,16,372
3057,16,16,372
3058,16,16,372
3059,16,16,371
3060,16,16,371
3061,16,16,371
3062,16,16,372
3063,16,16,372
3064,16,16,371
3065,16,16,371
3066,16,16,371
3067,16,16,371
3068,16,16,369
3069,16,16,368
3070,16,16,368
3071,16,16,368
3072,16,16,368
3073,16,16,368
3074,16,16,368
3075,16,16,368
3076,16,16,367
3077,16,16,367
3078,16,16,367
3079,16,16,367
3080,16,16,365
3081,16,16,365
3082,16,16,364
3083,16,16,365
3084,16,16,369
3085,16,16,369
3086,16,16,369
3087,16,16,371
3088,16,16,370
3089,16,16,370
3090,16,16,370
3091,16,16,370
3092,16,16,370
3093,16,16,370
3094,16,16,371
3095,16,16,371
3096,16,16,371
3097,16,16,371
3098,16,16,371
3099,16,16,371
3100,16,16,371
3101,16,16,371
3102,16,16,371
3103,16,16,371
3104,16,16,371
3105,16,16,371
3106,16,16,372
3107,16,16,372
3108,16,16,371
3109,16,16,370
3110,16,16,371
3111,16,16,374
3112,16,16,375
3113,16,16,377
3114,16,16,377
3115,16,16,378
3116,16,16,378
3117,16,16,378
3118,16,16,377
3119,16,16,377
3120,16,16,377
3121,16,16,377
3122,16,16,377
3123,16,16,377
3124,16,16,376
3125,16,16,376
3126,16,16,376
3127,16,16,375
3128,16,16,375
3129,16,16,374
3130,16,16,375
3131,16,16,376
3132,16,16,377
3133,16,16,377
3134,16,16,378
3135,16,16,378
3136,16,16,378
3137,16,16,377
3138,16,16,376
3139,16,16,377
3140,16,16,377
3141,16,16,377
3142,16,16,377
3143,16,16,377
3144,16,16,377
3145,16,16,376
3146,16,16,377
3147,16,16,376
3148,16,16,376
3149,16,16,376
3150,16,16,376
3151,16,16,375
3152,16,16,375
3153,16,16,375
3154,16,16,375
3155,16,16,375
3156,16,16,376
3157,16,16,375
3158,16,16,375
3159,16,16,375
3160,16,16,374
3161,16,16,373
3162,16,16,373
3163,16,16,372
3164,16,16,372
3165,16,16,373
3166,16,16,373
3167,16,16,372
3168,16,16,372
3169,16,16,374
3170,16,16,373
3171,16,16,372
3172,16,16,373
3173,16,16,373
3174,16,16,372
3175,16,16,372
3176,16,16,371
3177,16,16,373
3178,16,16,373
3179,16,16,374
3180,16,16,374
3181,16,16,374
3182,16,16,374
3183,16,16,371
3184,16,16,371
3185,16,16,371
3186,16,16,371
3187,16,16,371
3188,16,16,371
3189,16,16,370
3190,16,16,370
3191,16,16,371
3192,16,16,369
3193,16,16,369
3194,16,16,368
3195,16,16,368
3196,16,16,370
3197,16,16,370
3198,16,16,370
3199,16,16,370
3200,16,16,370
3201,16,16,370
3202,16,16,371
3203,16,16,373
3204,16,16,373
3205,16,16,372
3206,16,16,371
3207,16,16,371
3208,16,16,371
3209,16,16,372
3210,16,16,372
3211,16,16,372
